make,model_canonical,aliases,override_type,override_value,match_motive_power,match_import_status,match_vehicle_type,note
FIAT,ABARTH,,make_promotion,ABARTH,,,,"Abarth recorded under FIAT. Promoted strings name the brand and a model from after its 2007 relaunch. model_canonical keeps the full string (ABARTH 595, not 595) because it is also a match key and FIAT 500 and FIAT 500E are Fiat models. Fiats with Abarth tuning from before 2007 stay FIAT: 130 ABARTH, 131 ABARTH, STRADA ABARTH, ABARTH 130, ABARTH 130TC, ABARTH 1000 (9 rows). registrations_surviving at 2026-08: 73 (6 in the last 12 months), 4 of them 1984-85 vehicles. All five ABARTH rows: ABARTH 6 -> 673 all-time, 5 -> 72 in the last 12 months."
FIAT,ABARTH 500,,make_promotion,ABARTH,,,,Abarth; see the FIAT ABARTH row. 97 (1 in the last 12 months).
FIAT,ABARTH 500E,,make_promotion,ABARTH,,,,Abarth; see the FIAT ABARTH row. 78 (51 in the last 12 months).
FIAT,ABARTH 595,,make_promotion,ABARTH,,,,Abarth; see the FIAT ABARTH row. 359 (1 in the last 12 months).
FIAT,ABARTH 695,,make_promotion,ABARTH,,,,Abarth; see the FIAT ABARTH row. 60 (8 in the last 12 months).
CHRYSLER,JEEP,,make_promotion,JEEP,,,,"Jeeps recorded under CHRYSLER, almost all used imports. The model stays JEEP. registrations_surviving at 2026-08: 692 (37 in the last 12 months). With GRAND CHEROKEE and CHEROKEE below and the combined make CHRYSLER JEEP (1,181 rows, all Jeep nameplates, a brand_registry.csv alias): JEEP 19,202 -> 21,228 all-time, 336 -> 381 in the last 12 months. CHRYSLER AVENGER is the 1970s Chrysler car, not the 2023 Jeep Avenger, and stays CHRYSLER."
CHRYSLER,GRAND CHEROKEE,,make_promotion,JEEP,,,,Jeep nameplate recorded under CHRYSLER. 134 (2 in the last 12 months).
CHRYSLER,CHEROKEE,,make_promotion,JEEP,,,,Jeep nameplate recorded under CHRYSLER. 19 (0 in the last 12 months).
DODGE,RAM,,make_promotion,RAM,,,,"Ram recorded under DODGE. The model stays RAM. registrations_surviving at 2026-08: 1,217 (15 in the last 12 months). Promoted in every vehicle year, like the KGM rename, so the nameplate keeps one history instead of a false Dodge exit and Ram launch. The cost: 1,074 have a vehicle year before 2010, when the badge said Dodge. RAM 2,070 -> 3,287 all-time, 205 -> 220 in the last 12 months. POWER RAM, RAM CHARGER, RAM 250 and RAM B250M (7 rows, 1981-1994) stay DODGE."
MITSUBISHI,FUSO,,make_promotion,FUSO,,,,"Fuso trucks recorded under MITSUBISHI. Promoted in every vehicle year: Fuso was Mitsubishi's truck name long before it became a separate company in 2003, and one history avoids a false launch. registrations_surviving at 2026-08: 1,391 (13 in the last 12 months). All five MITSUBISHI rows: FUSO 12,628 -> 21,279 all-time, 512 -> 619 in the last 12 months; 4,847 of the 8,651 moved have a vehicle year before 2003. In-scope goods vehicles over 3500 kg left under MITSUBISHI: 9,396 -> 776."
MITSUBISHI,CANTER,,make_promotion,FUSO,,,,"Fuso Canter. 5,167 (90 in the last 12 months); 3 are recorded as passenger vehicles."
MITSUBISHI,FIGHTER,,make_promotion,FUSO,,,,"Fuso Fighter. 1,243 (4 in the last 12 months)."
MITSUBISHI,SHOGUN,,make_promotion,FUSO,,,GOODS VAN/TRUCK/UTILITY,"Fuso Shogun heavy truck. Goods vehicles only, because SHOGUN is also the UK name of the Mitsubishi Pajero: 26 passenger station wagons (used imports) stay MITSUBISHI. 796 promoted, none in the last 12 months."
MITSUBISHI,ROSA,,make_promotion,FUSO,,,,"Fuso Rosa bus. 54, all over 3500 kg, none in the last 12 months."
NISSAN,INFINITI,,make_promotion,INFINITI,,,,"Infiniti recorded under NISSAN. The model stays INFINITI. registrations_surviving at 2026-08: 83 (2 in the last 12 months). INFINITI 233 -> 316 all-time, 1 -> 3 in the last 12 months."
TOYOTA,LEXUS,,make_promotion,LEXUS,,,,"Lexus recorded under TOYOTA. The model stays LEXUS. registrations_surviving at 2026-08: 399, none in the last 12 months. With the combined make TOYOTA LEXUS (484 rows, all Lexus nameplates, a brand_registry.csv alias): LEXUS 33,538 -> 34,421 all-time. Japanese-market Toyotas sold elsewhere as Lexus models (Celsior, Aristo, Altezza, Harrier) carried a Toyota badge and stay TOYOTA."
NISSAN,UD,DIESEL,make_promotion,UD TRUCKS,,,,"Nissan Diesel trucks recorded under NISSAN; Nissan Diesel became UD Trucks in 2010. MODEL = DIESEL means Nissan Diesel here: all 900 are goods vehicles over 3500 kg. Both strings become model UD. Promoted in every vehicle year, like the KGM rename. registrations_surviving at 2026-08: UD 178, DIESEL 900, none in the last 12 months."
NISSAN,CONDOR,,make_promotion,UD TRUCKS,,,,"Nissan Diesel Condor. 1,455 (1 in the last 12 months), all goods vehicles over 3500 kg. With the UD row: UD TRUCKS 3,302 -> 5,835 all-time, 162 -> 163 in the last 12 months; 2,444 of the 2,533 moved have a vehicle year before 2010. In-scope goods vehicles over 3500 kg left under NISSAN: 8,400 -> 5,737. Smaller Nissan Diesel strings (CWA 45, DIESEL CG380 MIKADO and similar, under 60 rows) stay NISSAN."
MORRIS,MINI,MINI 1000|MINI CLUBMAN|MINI COOPER|MINI MOKE,not_promoted,MINI,,,,"EXCLUSION, keep as recorded. The classic Mini (1959-2000) was built by BMC and its successors and is a different marque from BMW's MINI. The build aborts if any make_promotion row moves MORRIS to MINI. registrations_surviving at 2026-08: 1,517 rows over 61 Mini strings."
AUSTIN,MINI,MINI 1000|MINI CLUBMAN|MINI COOPER|MINI MOKE,not_promoted,MINI,,,,"EXCLUSION, keep as recorded; the classic Mini, see the MORRIS row. 1,362 rows over 67 Mini strings."
LEYLAND,MINI,MINI 1000|MINI CLUBMAN|MINI LE|MINI CITY,not_promoted,MINI,,,,"EXCLUSION, keep as recorded; the classic Mini, see the MORRIS row. LEYLAND is not in brand_registry.csv, so these are __UNMAPPED__ today; this row still applies if it is added. 1,110 rows over 50 Mini strings. The same holds for BLMC (106) and BMC (13)."
ROVER,MINI,MINI COOPER,not_promoted,MINI,,,,"EXCLUSION, keep as recorded. Rover Group built the classic Mini until 2000, under BMW ownership from 1994, but it is still the classic Mini and not BMW's MINI. 362 rows over 12 Mini strings."
MITSUBISHI,JEEP,JEEP J-J58,not_promoted,JEEP,,,,"EXCLUSION, keep as recorded. Licence-built Willys-pattern Jeeps are not Jeep-brand vehicles: Mitsubishi built the J-series in Japan. 109 rows. The makes WILLYS, KAISER and AMC are not in brand_registry.csv and stay as recorded."
FORD,JEEP,JEEP TRUCK|WILLYS,not_promoted,JEEP,,,,"EXCLUSION, keep as recorded. Ford built Willys-pattern Jeeps (the GPW) under licence in the Second World War. 40 rows."
HYUNDAI,GENESIS,,not_promoted,GENESIS,,,,"EXCLUSION, keep as recorded. The Hyundai Genesis is a Hyundai model sold before Genesis became a brand; Genesis-brand vehicles are recorded under MAKE = GENESIS. 67 rows, vehicle years 2014-2023."
SUNBEAM,ALPINE,ALPINE IV|ALPINE V|ALPINE GT|ALPINE SERIE,not_promoted,ALPINE,,,,"EXCLUSION, keep as recorded. The Sunbeam Alpine (1953-1975) is unrelated to the Alpine brand. SUNBEAM is not in brand_registry.csv. 75 rows. Talbot, Hillman, Riley and Chrysler Alpines are unrelated too."
RENAULT,ALPINE,ALPINE V6 GT|ALPINE GTA|ALPINE VL TURBO|ALPINE GTA V6 TURBO,not_promoted,ALPINE,,,,"EXCLUSION, keep as recorded. Renault-badged Alpines stay RENAULT. 30 rows. The cost: 12 RENAULT ALPINE rows have vehicle years 2018-2022 and are probably current Alpine A110s, which a model string cannot separate. The brand's own A110s are recorded under MAKE = ALPINE."
NISSAN,DATSUN,DATSUN 4WD|DATSUN 4X4|DATSUN UTE,not_promoted,DATSUN,,,,"EXCLUSION, keep as recorded. DATSUN is a make only where MAKE itself says DATSUN (2,261 rows, already a brand_registry.csv make). DATSUN as a model under NISSAN stays NISSAN: 2,538 rows over 32 strings, almost all used-import utilities with vehicle years 1977-2002."
